,listing_id,fuel_type,CarCode,extracted_fuel_type,extracted_fuel_type_standardized
82,1015807,,10397,Petrol,petrol
83,1028531,,10385,Petrol,petrol
84,1003644,,MISSING,MISSING CAR CODE,
85,1013226,,MISSING,MISSING CAR CODE,
86,1027556,,10385,Petrol,petrol
87,1031152,,10547,Petrol,petrol
88,1024838,,12374,Petrol,petrol
89,1002581,,11491,Petrol,petrol
90,1010001,,11322,Petrol,petrol
91,1021033,,10128,Petrol,petrol
92,1030705,,12323,Petrol,petrol
93,1027068,,10275,Petrol,petrol
94,1018128,,11085,Petrol,petrol
95,1024395,,11120,Petrol,petrol
96,963082,,10128,Petrol,petrol
97,1019796,diesel,11536,Diesel (Euro VI),diesel
98,1025322,,10732,Petrol,petrol
99,1025512,,10076,Petrol,petrol
100,994828,,MISSING,MISSING CAR CODE,
101,990250,,MISSING,MISSING CAR CODE,
102,974187,diesel,10517,Petrol,petrol
103,987006,,10007,Petrol,petrol
104,1030965,diesel,11484,Diesel (Euro VI),diesel
105,1016071,diesel,12004,Diesel (Euro V),diesel
106,1023418,,10526,Petrol,petrol
107,961153,,10029,Petrol,petrol
108,1030375,,MISSING,MISSING CAR CODE,
109,1028408,,11775,Petrol,petrol
110,1020286,,12232,Petrol,petrol
111,1011764,,11875,Petrol,petrol
112,1022520,,MISSING,MISSING CAR CODE,
113,1013804,petrol,MISSING,MISSING CAR CODE,
114,979550,,11305,Petrol,petrol
115,1024594,petrol-electric,10440,Petrol-Electric,petrol-electric
116,1031288,,12444,Petrol,petrol
117,1008199,,11469,Petrol,petrol
118,1025501,,10187,Petrol,petrol
119,1026520,,10547,Petrol,petrol
120,1001024,diesel,10862,Diesel (Euro V),diesel
121,986495,diesel,MISSING,MISSING CAR CODE,
122,1007296,,10275,Petrol,petrol
123,994566,,10876,Petrol,petrol
124,1031253,,10296,Petrol,petrol
125,1030140,,11846,Petrol,petrol
126,1031059,,12534,Petrol,petrol
127,1001363,,MISSING,MISSING CAR CODE,
128,960043,,10509,Petrol,petrol
129,1015993,,10028,Petrol,petrol
130,1025637,,12138,Petrol,petrol
131,1017838,diesel,10621,Diesel (Euro IV),diesel
132,1025660,,12128,Petrol,petrol
133,1018281,,10296,Petrol,petrol
134,1003980,,MISSING,MISSING CAR CODE,
135,1010657,,10725,Petrol,petrol
136,1027405,,10464,Petrol,petrol
137,991635,,11120,Petrol,petrol
138,1010208,,10551,Petrol,petrol
139,1031173,diesel,11603,Petrol,petrol
140,1003765,,10305,Petrol,petrol
141,1025165,,11530,Petrol,petrol
142,1003778,,11322,Petrol,petrol
143,1028336,,11082,Petrol,petrol
144,1019899,petrol-electric,10645,Petrol-Electric,petrol-electric
145,1016391,,11846,Petrol,petrol
146,979020,,10860,Petrol,petrol
147,962222,,MISSING,MISSING CAR CODE,
148,1023699,,10725,Petrol,petrol
149,1028117,,11531,Petrol,petrol
150,1026166,,10777,Petrol,petrol
151,1003900,,11328,Petrol,petrol
152,1019760,,10778,Petrol,petrol
153,1021331,,MISSING,MISSING CAR CODE,
154,1004648,,10787,Petrol,petrol
155,1006300,petrol-electric,11787,Petrol-Electric,petrol-electric
156,989886,,MISSING,MISSING CAR CODE,
157,1021188,,11531,Petrol,petrol
158,1030825,,10544,Petrol,petrol
159,1030777,,10506,Petrol,petrol
160,1024356,,10685,Petrol,petrol
161,1019839,,MISSING,MISSING CAR CODE,
162,956929,,11469,Petrol,petrol
163,1020047,,12546,Petrol,petrol
164,1020610,,10026,Petrol,petrol
165,1022467,,10876,Petrol,petrol
166,974922,,12534,Petrol,petrol
167,1021011,,10187,Petrol,petrol
168,1025613,petrol,MISSING,MISSING CAR CODE,
169,1025924,diesel,11572,Diesel (Euro VI),diesel
170,1018691,petrol-electric,11787,Petrol-Electric,petrol-electric
171,1009956,,10782,Petrol,petrol
172,1029083,,11306,Petrol,petrol
173,1019803,,12049,Petrol,petrol
174,1014226,,11745,Petrol,petrol
175,1016126,,11105,Petrol,petrol
176,1012081,,11610,Petrol,petrol
177,1008703,,10417,Petrol,petrol
178,1016696,,11543,Petrol,petrol
179,995312,petrol-electric,11503,Petrol,petrol
180,985893,diesel,MISSING,MISSING CAR CODE,
181,983458,,10777,Petrol,petrol
182,995980,,10526,Petrol,petrol
183,1015573,,10464,Petrol,petrol
184,1023319,,12412,Petrol,petrol
185,1021886,diesel,MISSING,MISSING CAR CODE,
186,1027768,,12404,Petrol,petrol
187,1013988,,11294,Petrol,petrol
188,1027853,,12534,Petrol,petrol
189,1028533,,11032,Petrol,petrol
190,1027301,,10860,Petrol,petrol
191,964416,,11015,Petrol,petrol
192,1024716,,10356,Petrol,petrol
193,1004256,,10526,Petrol,petrol
194,1023410,,11435,Petrol,petrol
195,1024862,petrol-electric,11420,Petrol-Electric,petrol-electric
196,1018108,,10318,Petrol,petrol
197,1015481,,10414,Petrol,petrol
198,1026668,,10981,Petrol,petrol
199,1017335,,MISSING,MISSING CAR CODE,
200,1019727,diesel,MISSING,MISSING CAR CODE,
201,1016147,,11306,Petrol,petrol
202,1029746,,11386,Petrol,petrol
203,1023483,,10540,Petrol,petrol
204,1009468,,11652,Petrol,petrol
205,1012016,diesel,MISSING,MISSING CAR CODE,
206,1022007,,10381,Petrol,petrol
207,1010594,petrol-electric,MISSING,MISSING CAR CODE,
208,981461,,MISSING,MISSING CAR CODE,
209,1020356,,10417,Petrol,petrol
210,1024696,,11306,Petrol,petrol
211,1026864,,11530,Petrol,petrol
212,1011962,,10128,Petrol,petrol
213,1025121,petrol-electric,11571,Petrol-Electric,petrol-electric
214,973023,,11474,Petrol,petrol
215,988445,petrol-electric,11981,Petrol-Electric,petrol-electric
216,1017413,,11573,Petrol,petrol
217,1010280,,10685,Petrol,petrol
218,1026846,,10240,Petrol,petrol
219,996963,electric,12388,Electric,electric
220,998054,,MISSING,MISSING CAR CODE,
221,988236,diesel,12104,Diesel (Euro VI),diesel
222,1027792,petrol,MISSING,MISSING CAR CODE,
223,1028983,,10526,Petrol,petrol
224,1025296,,11076,Petrol,petrol
225,1029035,,11322,Petrol,petrol
226,1021138,,10187,Petrol,petrol
227,936886,,11881,Petrol,petrol
228,1029429,,12374,Petrol,petrol
229,1018468,,11000,Petrol,petrol
230,1031037,,10526,Petrol,petrol
231,988238,,10931,Petrol,petrol
232,1023597,,12255,Petrol,petrol
233,1019064,,11832,Petrol,petrol
234,1026426,,MISSING,MISSING CAR CODE,
235,992441,,12255,Petrol,petrol
236,1011392,,11448,Petrol,petrol
237,998233,,11055,Petrol,petrol
238,1008086,diesel,11755,Diesel (Euro VI),diesel
239,1014343,,11775,Petrol,petrol
240,1026229,,11722,Petrol,petrol
241,1012174,,10456,Petrol,petrol
242,1029822,,12218,Petrol,petrol
243,1011632,petrol-electric,11752,Petrol-Electric,petrol-electric
244,971211,,11260,Petrol,petrol
245,1027993,,11015,Petrol,petrol
246,1017353,diesel,MISSING,MISSING CAR CODE,
247,994047,,12265,Petrol,petrol
248,1024002,,11503,Petrol,petrol
249,1005659,petrol,10862,Diesel (Euro V),diesel
250,1019437,,10503,Petrol,petrol
251,1021852,,MISSING,MISSING CAR CODE,
252,1028335,petrol-electric,11437,Petrol-Electric,petrol-electric
253,948025,,10128,Petrol,petrol
254,987637,,10128,Petrol,petrol
255,960165,,11272,Petrol,petrol
256,855810,diesel,12162,Diesel (Euro VI),diesel
257,996831,,10547,Petrol,petrol
258,984906,,11832,Petrol,petrol
259,985167,,11309,Petrol,petrol
260,1019379,,11531,Petrol,petrol
261,1018717,,10758,Petrol,petrol
262,992066,,11491,Petrol,petrol
263,1010659,,11055,Petrol,petrol
264,1007682,,MISSING,MISSING CAR CODE,
265,1025654,,10800,Petrol,petrol
266,1024342,,12209,Petrol,petrol
267,981074,diesel,11725,Diesel (Euro VI),diesel
268,1001261,diesel,11725,Diesel (Euro VI),diesel
269,946977,,10595,Petrol,petrol
270,1019895,,10417,Petrol,petrol
271,992706,diesel,MISSING,MISSING CAR CODE,
272,1030125,,10275,Petrol,petrol
273,1020091,,MISSING,MISSING CAR CODE,
274,1029567,diesel,10596,Diesel (Euro V),diesel
275,1020795,,11503,Petrol,petrol
276,978046,,11832,Petrol,petrol
277,975652,,11309,Petrol,petrol
278,1013085,,11446,Petrol,petrol
279,1023778,,10832,Petrol,petrol
280,1018473,,10464,Petrol,petrol
281,1023758,petrol-electric,12003,Petrol-Electric,petrol-electric
282,1006099,,10777,Petrol,petrol
283,991082,petrol-electric,MISSING,MISSING CAR CODE,
284,997359,,10503,Petrol,petrol
285,981621,diesel,11901,Diesel (Euro V),diesel
286,1011121,,MISSING,MISSING CAR CODE,
287,1029817,,11610,Petrol,petrol
288,1021432,,MISSING,MISSING CAR CODE,
289,1030740,,12086,Petrol,petrol
290,980323,diesel,10994,Diesel (Euro IV),diesel
291,976516,,11015,Petrol,petrol
292,995090,,11613,Petrol,petrol
293,1029478,diesel,11786,Diesel (Euro VI),diesel
294,1019965,,11745,Petrol,petrol
295,1000642,diesel,MISSING,MISSING CAR CODE,
296,1000975,,11587,Petrol,petrol
297,1001917,,11652,Petrol,petrol
298,1021602,diesel,MISSING,MISSING CAR CODE,
299,1030122,diesel,12075,Diesel (Euro VI),diesel
300,997405,,MISSING,MISSING CAR CODE,
301,1012322,,MISSING,MISSING CAR CODE,
302,1000445,petrol-electric,MISSING,MISSING CAR CODE,
303,976124,,10356,Petrol,petrol
304,1020355,,11611,Petrol,petrol
305,1004909,,12609,Petrol,petrol
306,1004351,,10860,Petrol,petrol
307,1025401,,11748,Petrol,petrol
308,1003006,,MISSING,MISSING CAR CODE,
309,1025463,,11491,Petrol,petrol
310,1021543,petrol-electric,11787,Petrol-Electric,petrol-electric
311,1021702,,10080,Petrol,petrol
312,1026177,diesel,MISSING,MISSING CAR CODE,
313,1016512,,11543,Petrol,petrol
314,1022815,,MISSING,MISSING CAR CODE,
315,1024473,,11262,Petrol,petrol
316,1027412,,12218,Petrol,petrol
317,1016311,,10732,Petrol,petrol
318,1003489,diesel,MISSING,MISSING CAR CODE,
319,995626,petrol-electric,MISSING,MISSING CAR CODE,
320,988556,,11133,Petrol,petrol
321,991947,,12618,Petrol,petrol
322,987019,,10349,Petrol,petrol
323,1016269,,11083,Petrol,petrol
324,932770,diesel,10969,Petrol,petrol
325,1013960,diesel,11536,Diesel (Euro VI),diesel
326,1017651,diesel,11572,Diesel (Euro VI),diesel
327,998594,,11448,Petrol,petrol
328,964238,,MISSING,MISSING CAR CODE,
329,981879,,MISSING,MISSING CAR CODE,
330,939063,,11449,Petrol,petrol
331,998703,,MISSING,MISSING CAR CODE,
332,1006616,,11386,Petrol,petrol
333,1028150,,11745,Petrol,petrol
334,968612,,11832,Petrol,petrol
335,996416,,11451,Petrol,petrol
336,999038,,11882,Petrol,petrol
337,1025071,,10464,Petrol,petrol
338,968972,,MISSING,MISSING CAR CODE,
339,1016759,diesel,12020,Petrol,petrol
340,1027217,,11144,Petrol,petrol
341,983985,,10381,Petrol,petrol
342,975696,diesel,11581,Diesel (Euro V),diesel
343,1016227,,10685,Petrol,petrol
344,1029238,,10077,Petrol,petrol
345,1007154,,12180,Petrol,petrol
346,1020369,,MISSING,MISSING CAR CODE,
347,1014240,,10732,Petrol,petrol
348,1017037,,11578,Petrol,petrol
349,1030148,diesel,MISSING,MISSING CAR CODE,
350,954364,,11611,Petrol,petrol
351,936225,,10778,Petrol,petrol
352,1025245,diesel,12097,Diesel (Euro VI),diesel
353,1015091,,10365,Petrol,petrol
354,1029936,,11079,Petrol,petrol
355,1021984,diesel,MISSING,MISSING CAR CODE,
356,1005426,,10417,Petrol,petrol
357,992031,,11442,Petrol,petrol
358,1028601,,MISSING,MISSING CAR CODE,
359,1015244,,MISSING,MISSING CAR CODE,
360,1003701,petrol-electric,MISSING,MISSING CAR CODE,
361,1007217,diesel,11786,Diesel (Euro VI),diesel
362,999447,petrol-electric,11557,Petrol-Electric,petrol-electric
363,1018639,diesel,MISSING,MISSING CAR CODE,
364,982271,diesel,10596,Diesel (Euro V),diesel
365,1029789,,10685,Petrol,petrol
366,964436,,MISSING,MISSING CAR CODE,
367,1012171,,12193,Petrol,petrol
368,1029111,,10732,Petrol,petrol
369,1014768,,MISSING,MISSING CAR CODE,
370,1023589,,11578,Petrol,petrol
371,1025183,,11804,Petrol,petrol
372,1013800,,11341,Petrol,petrol
373,996857,,10128,Petrol,petrol
374,1017620,,12232,Petrol,petrol
375,982115,petrol-electric,11557,Petrol-Electric,petrol-electric
376,1026407,,10184,Petrol,petrol
377,1027901,,10503,Petrol,petrol
378,1006274,diesel,12104,Diesel (Euro VI),diesel
379,997165,,10605,Petrol,petrol
380,1020103,petrol-electric,12219,Petrol-Electric,petrol-electric
381,995757,,11832,Petrol,petrol
382,1008302,,10526,Petrol,petrol
383,1028038,,10410,Petrol,petrol
384,1022641,,11557,Petrol-Electric,petrol-electric
385,1014761,,10150,Petrol,petrol
386,1028496,,10572,Petrol,petrol
387,1014157,,11503,Petrol,petrol
388,1028711,,12323,Petrol,petrol
389,1012930,,10397,Petrol,petrol
390,1027056,,10840,Petrol,petrol
391,1021038,diesel,11319,Diesel (Euro V),diesel
392,1025741,,11731,Petrol,petrol
393,1024105,diesel,MISSING,MISSING CAR CODE,
394,1026597,diesel,11572,Diesel (Euro VI),diesel
395,1029680,,10464,Petrol,petrol
396,1028807,,MISSING,MISSING CAR CODE,
397,1016698,diesel,11778,Diesel (Euro V),diesel
398,986414,,11761,Petrol,petrol
399,953799,,MISSING,MISSING CAR CODE,
400,1019817,,10180,Petrol,petrol
401,991875,petrol-electric,11981,Petrol-Electric,petrol-electric
402,1015070,,10056,Petrol,petrol
403,1022280,,10547,Petrol,petrol
404,1031111,,11578,Petrol,petrol
405,1019476,,11322,Petrol,petrol
406,1007494,,10511,Petrol,petrol
407,1029030,,10365,Petrol,petrol
408,1021659,,11543,Petrol,petrol
409,1018749,petrol-electric,11571,Petrol-Electric,petrol-electric
410,1026718,diesel,MISSING,MISSING CAR CODE,
411,1030428,,10158,Petrol,petrol
412,972744,,MISSING,MISSING CAR CODE,
413,1007064,,10271,Petrol,petrol
414,1001105,,10397,Petrol,petrol
415,1025657,diesel,MISSING,MISSING CAR CODE,
416,1027555,,11643,Petrol,petrol
417,1018315,,10464,Petrol,petrol
418,1026036,,10967,Petrol,petrol
419,1029538,petrol-electric,11557,Petrol-Electric,petrol-electric
420,1025886,,MISSING,MISSING CAR CODE,
421,1024441,,10547,Petrol,petrol
422,1025658,,10713,Petrol,petrol
423,1027811,,11491,Petrol,petrol
424,1008304,,12032,Petrol,petrol
425,1024632,,11531,Petrol,petrol
426,995501,,11790,Petrol,petrol
427,962714,,11531,Petrol,petrol
428,976313,,MISSING,MISSING CAR CODE,
429,1011368,,11321,Petrol,petrol
430,979117,,11455,Petrol,petrol
431,899809,petrol-electric,MISSING,MISSING CAR CODE,
432,1021158,diesel,MISSING,MISSING CAR CODE,
433,995330,,10685,Petrol,petrol
434,1008526,,11874,Petrol,petrol
435,1001331,,MISSING,MISSING CAR CODE,
436,1018367,,11771,Petrol,petrol
437,1018201,,10348,Petrol,petrol
438,1014011,diesel,MISSING,MISSING CAR CODE,
439,1006443,,11875,Petrol,petrol
440,1030227,,11031,Petrol,petrol
441,1024190,diesel,10596,Diesel (Euro V),diesel
442,1008148,petrol,10862,Diesel (Euro V),diesel
443,1000936,diesel,12104,Diesel (Euro VI),diesel
444,1006714,,MISSING,MISSING CAR CODE,
445,1023605,,MISSING,MISSING CAR CODE,
446,1026287,,12232,Petrol,petrol
447,1020275,,10526,Petrol,petrol
448,1026217,,11446,Petrol,petrol
449,1006688,,MISSING,MISSING CAR CODE,
450,1013407,,11178,Petrol,petrol
451,1023989,diesel,11637,Diesel (Euro VI),diesel
452,1025922,diesel,11270,Diesel (Euro V),diesel
453,1020435,,11998,Petrol,petrol
454,1018260,,11262,Petrol,petrol
455,1027241,,11442,Petrol,petrol
456,1026475,,MISSING,MISSING CAR CODE,
457,1021546,,10981,Petrol,petrol
458,998026,,11341,Petrol,petrol
459,1024543,,10547,Petrol,petrol
460,1029163,,11531,Petrol,petrol
461,1004771,,11543,Petrol,petrol
462,1016353,,MISSING,MISSING CAR CODE,
463,1010719,,MISSING,MISSING CAR CODE,
464,1026919,,10725,Petrol,petrol
465,1020881,,12626,Petrol,petrol
466,1021321,diesel,11484,Diesel (Euro VI),diesel
467,1028586,,11806,Petrol,petrol
468,1024402,diesel,11725,Diesel (Euro VI),diesel
469,1011810,,11622,Petrol,petrol
470,1015756,,MISSING,MISSING CAR CODE,
471,1017441,,10832,Petrol,petrol
472,1021199,,10356,Petrol,petrol
473,908063,,MISSING,MISSING CAR CODE,
474,1021862,,10685,Petrol,petrol
475,1029424,,10180,Petrol,petrol
476,1014726,,11799,Petrol,petrol
477,1023973,,10199,Petrol,petrol
478,1021864,,10464,Petrol,petrol
479,1018080,,MISSING,MISSING CAR CODE,
480,1029879,petrol-electric,12173,Petrol,petrol
481,999799,,11503,Petrol,petrol
482,1008340,,10685,Petrol,petrol
483,982870,,MISSING,MISSING CAR CODE,
484,1018258,,11100,Petrol,petrol
485,1022493,petrol-electric,11981,Petrol-Electric,petrol-electric
486,1002535,diesel,MISSING,MISSING CAR CODE,
487,1020154,,10606,Petrol,petrol
488,1030093,,11579,Petrol,petrol
489,1024638,,11822,Petrol,petrol
490,1020183,,11503,Petrol,petrol
491,1027025,,MISSING,MISSING CAR CODE,
492,984778,diesel,12104,Diesel (Euro VI),diesel
493,975701,,11748,Petrol,petrol
494,1029103,,11832,Petrol,petrol
495,1009042,,11531,Petrol,petrol
496,992328,diesel,10862,Diesel (Euro V),diesel
497,1025308,,11015,Petrol,petrol
498,1003395,diesel,11536,Diesel (Euro VI),diesel
499,1030710,,11000,Petrol,petrol
500,1021644,,11306,Petrol,petrol
501,1015158,,MISSING,MISSING CAR CODE,
502,971534,,10356,Petrol,petrol
503,1011555,diesel,11536,Diesel (Euro VI),diesel
504,1018508,,MISSING,MISSING CAR CODE,
505,1002662,,12323,Petrol,petrol
506,996553,,10732,Petrol,petrol
507,1024388,,10832,Petrol,petrol
508,1030009,,10128,Petrol,petrol
509,997700,,MISSING,MISSING CAR CODE,
510,1012707,,10417,Petrol,petrol
511,1025971,,MISSING,MISSING CAR CODE,
512,1013477,,11474,Petrol,petrol
513,1008660,,11322,Petrol,petrol
514,1025009,,10007,Petrol,petrol
515,1027177,,10551,Petrol,petrol
516,984384,petrol-electric,12171,Petrol-Electric,petrol-electric
517,965748,,11610,Petrol,petrol
518,980478,diesel,10862,Diesel (Euro V),diesel
519,1027499,,11745,Petrol,petrol
520,1023150,,11662,Petrol,petrol
521,1030024,,11617,Petrol,petrol
522,1012532,,10180,Petrol,petrol
523,1023537,,MISSING,MISSING CAR CODE,
524,967887,petrol-electric,MISSING,MISSING CAR CODE,
525,1000767,,10089,Petrol,petrol
526,1009589,petrol,10862,Diesel (Euro V),diesel
527,1013321,,MISSING,MISSING CAR CODE,
528,1015345,,MISSING,MISSING CAR CODE,
529,1026723,,12334,Petrol,petrol
530,1023665,petrol,12859,Petrol,petrol
531,1029002,,12363,Petrol,petrol
532,1030495,petrol-electric,MISSING,MISSING CAR CODE,
533,1030942,,11113,Petrol,petrol
534,1011332,,12244,Petrol-Electric,petrol-electric
535,1004769,,MISSING,MISSING CAR CODE,
536,1020876,,11875,Petrol,petrol
537,1021623,,10417,Petrol,petrol
538,968525,diesel,MISSING,MISSING CAR CODE,
539,1030081,,11579,Petrol,petrol
540,1010784,,10007,Petrol,petrol
541,1024028,,11584,Petrol,petrol
542,1005688,,10181,Petrol,petrol
543,1030082,,10077,Petrol,petrol
544,1025890,,10007,Petrol,petrol
545,1015798,,10482,Petrol,petrol
546,1005015,diesel,11616,Diesel (Euro V),diesel
547,1031259,,10685,Petrol,petrol
548,1027235,,MISSING,MISSING CAR CODE,
549,1010132,,11531,Petrol,petrol
550,1024933,diesel,MISSING,MISSING CAR CODE,
551,998827,,11617,Petrol,petrol
552,1004308,,MISSING,MISSING CAR CODE,
553,1027603,diesel,MISSING,MISSING CAR CODE,
554,1023027,,10569,Petrol,petrol
555,1019910,,10876,Petrol,petrol
556,1016640,,11832,Petrol,petrol
557,999265,,10511,Petrol,petrol
558,1030226,,12255,Petrol,petrol
559,1030780,,11610,Petrol,petrol
560,1004628,,11491,Petrol,petrol
561,1021166,petrol-electric,MISSING,MISSING CAR CODE,
562,1013703,,MISSING,MISSING CAR CODE,
563,1018760,,11630,Petrol,petrol
564,1021909,,12209,Petrol,petrol
565,1029120,,11530,Petrol,petrol
566,1010122,,11643,Petrol,petrol
567,999729,,MISSING,MISSING CAR CODE,
568,993896,,10725,Petrol,petrol
569,981895,,11195,Petrol,petrol
570,1018231,,10296,Petrol,petrol
571,1008962,,10725,Petrol,petrol
572,988367,,10600,Petrol,petrol
573,1003957,diesel,11742,Diesel (Euro VI),diesel
574,1001605,,MISSING,MISSING CAR CODE,
575,1014159,diesel,MISSING,MISSING CAR CODE,
576,1028534,diesel,11949,Diesel (Euro V),diesel
577,1023017,,10128,Petrol,petrol
578,1002323,,11103,Petrol,petrol
579,1001704,,MISSING,MISSING CAR CODE,
580,1016946,,10137,Petrol,petrol
581,1013985,,10345,Petrol,petrol
582,1017006,,12396,Petrol,petrol
583,1017656,,11573,Petrol,petrol
584,988992,,10180,Petrol,petrol
585,1007467,,12232,Petrol,petrol
586,1010386,,MISSING,MISSING CAR CODE,
587,1018935,diesel,11725,Diesel (Euro VI),diesel
588,984611,,10757,Petrol,petrol
589,1030905,,MISSING,MISSING CAR CODE,
590,1001562,,11449,Petrol,petrol
591,1025137,diesel,10862,Diesel (Euro V),diesel
592,1018623,,11610,Petrol,petrol
593,1013457,petrol-electric,11806,Petrol,petrol
594,1016770,,11775,Petrol,petrol
595,1016366,diesel,MISSING,MISSING CAR CODE,
596,1021080,,11491,Petrol,petrol
597,985744,,MISSING,MISSING CAR CODE,
598,995898,,MISSING,MISSING CAR CODE,
599,1024031,diesel,MISSING,MISSING CAR CODE,
600,974506,,MISSING,MISSING CAR CODE,
601,1023783,,11835,Petrol,petrol
602,1001210,,11375,Petrol,petrol
603,1014452,,11469,Petrol,petrol
604,1017065,,11321,Petrol,petrol
605,1018736,,12350,Petrol,petrol
606,1016414,,MISSING,MISSING CAR CODE,
607,952345,,10547,Petrol,petrol
608,1027225,electric,MISSING,MISSING CAR CODE,
609,1020925,,11578,Petrol,petrol
610,1004980,,MISSING,MISSING CAR CODE,
611,995358,,10083,Petrol,petrol
612,1028990,,MISSING,MISSING CAR CODE,
613,1020915,,11610,Petrol,petrol
614,984527,petrol,11795,Petrol,petrol
615,1023996,diesel,11536,Diesel (Euro VI),diesel
616,1025024,,10860,Petrol,petrol
617,1024803,diesel,10994,Diesel (Euro IV),diesel
618,1023166,,10725,Petrol,petrol
619,1008647,,11469,Petrol,petrol
620,970464,,MISSING,MISSING CAR CODE,
621,996708,,MISSING,MISSING CAR CODE,
622,1022333,,11762,Petrol,petrol
623,1009392,,MISSING,MISSING CAR CODE,
624,1022368,,MISSING,MISSING CAR CODE,
625,1016892,,10572,Petrol,petrol
626,1025545,,11643,Petrol,petrol
627,1028153,,11875,Petrol,petrol
628,1026323,,11306,Petrol,petrol
629,1016467,,11543,Petrol,petrol
630,1028638,,10254,Petrol,petrol
631,1019240,,11740,Petrol,petrol
632,986569,,12395,Petrol,petrol
633,1030811,,10264,Petrol,petrol
634,962535,,MISSING,MISSING CAR CODE,
635,1024332,,11927,Petrol,petrol
636,1006389,diesel,MISSING,MISSING CAR CODE,
637,1000515,,11531,Petrol,petrol
638,1005470,,MISSING,MISSING CAR CODE,
639,1025905,,11643,Petrol,petrol
640,1005184,,MISSING,MISSING CAR CODE,
641,995894,diesel,10862,Diesel (Euro V),diesel
642,986284,diesel,11536,Diesel (Euro VI),diesel
643,1027091,,11849,Petrol,petrol
644,998496,,12737,Petrol,petrol
645,975818,,12323,Petrol,petrol
646,1017256,,10753,Petrol,petrol
647,1019570,,11846,Petrol,petrol
648,1008384,,11321,Petrol,petrol
649,981303,diesel,MISSING,MISSING CAR CODE,
650,1029511,,11578,Petrol,petrol
